Name	Version	Architecturet	Description
adduser	3.116ubuntu1	all	add and remove users and groups
adwaita-icon-theme	3.28.0-1ubuntu1	all	default icon theme of GNOME (small subset)
apt	1.6.14	amd64	commandline package manager
autoconf	2.69-11	all	automatic configure script builder
automake	1:1.15.1-3ubuntu2	all	Tool for generating GNU Standards-compliant Makefiles
autotools-dev	20180224.1	all	Update infrastructure for config.{guess,sub} files
base-files	10.1ubuntu2.11	amd64	Debian base system miscellaneous files
base-passwd	3.5.44	amd64	Debian base system master password and group files
bash	4.4.18-2ubuntu1.3	amd64	GNU Bourne Again SHell
bc	1.07.1-2	amd64	GNU bc arbitrary precision calculator language
bedtools	2.26.0+dfsg-5	amd64	suite of utilities for comparing genomic features
binutils	2.30-21ubuntu1~18.04.8	amd64	GNU assembler, linker and binary utilities
binutils-common:amd64	2.30-21ubuntu1~18.04.8	amd64	Common files for the GNU assembler, linker and binary utilities
binutils-x86-64-linux-gnu	2.30-21ubuntu1~18.04.8	amd64	GNU binary utilities, for x86-64-linux-gnu target
bison	2:3.0.4.dfsg-1build1	amd64	YACC-compatible parser generator
bsdutils	1:2.31.1-0.4ubuntu3.7	amd64	basic utilities from 4.4BSD-Lite
build-essential	12.4ubuntu1	amd64	Informational list of build-essential packages
bzip2	1.0.6-8.1ubuntu0.2	amd64	high-quality block-sorting file compressor - utilities
bzip2-doc	1.0.6-8.1ubuntu0.2	all	high-quality block-sorting file compressor - documentation
ca-certificates	20211016ubuntu0.18.04.1	all	Common CA certificates
ca-certificates-java	20180516ubuntu1~18.04.1	all	Common CA certificates (JKS keystore)
coreutils	8.28-1ubuntu1	amd64	GNU core utilities
cpp	4:7.4.0-1ubuntu2.3	amd64	GNU C preprocessor (cpp)
cpp-7	7.5.0-3ubuntu1~18.04	amd64	GNU C preprocessor
curl	7.58.0-2ubuntu3.24	amd64	command line tool for transferring data with URL syntax
dash	0.5.8-2.10	amd64	POSIX-compliant shell
debconf	1.5.66ubuntu1	all	Debian configuration management system
debianutils	4.8.4	amd64	Miscellaneous utilities specific to Debian
diffutils	1:3.6-1	amd64	File comparison utilities
distro-info-data	0.37ubuntu0.15	all	information about the distributions' releases (data files)
dpkg	1.19.0.5ubuntu2.4	amd64	Debian package management system
dpkg-dev	1.19.0.5ubuntu2.4	all	Debian package development tools
e2fsprogs	1.44.1-1ubuntu1.4	amd64	ext2/ext3/ext4 file system utilities
fdisk	2.31.1-0.4ubuntu3.7	amd64	collection of partitioning utilities
findutils	4.6.0+git+20170828-2	amd64	utilities for finding files--find, xargs
fontconfig	2.12.6-0ubuntu2	amd64	generic font configuration library - support binaries
fontconfig-config	2.12.6-0ubuntu2	all	generic font configuration library - configuration
fonts-dejavu-core	2.37-1	all	Vera font family derivate with additional characters
g++	4:7.4.0-1ubuntu2.3	amd64	GNU C++ compiler
g++-7	7.5.0-3ubuntu1~18.04	amd64	GNU C++ compiler
gcc	4:7.4.0-1ubuntu2.3	amd64	GNU C compiler
gcc-7	7.5.0-3ubuntu1~18.04	amd64	GNU C compiler
gcc-7-base:amd64	7.5.0-3ubuntu1~18.04	amd64	GCC, the GNU Compiler Collection (base package)
gcc-8-base:amd64	8.4.0-1ubuntu1~18.04	amd64	GCC, the GNU Compiler Collection (base package)
gir1.2-glib-2.0:amd64	1.56.1-1	amd64	Introspection data for GLib, GObject, Gio and GModule
git	1:2.17.1-1ubuntu0.18	amd64	fast, scalable, distributed revision control system
git-man	1:2.17.1-1ubuntu0.18	all	fast, scalable, distributed revision control system (manual pages)
google-cloud-cli	422.0.0-0	all	Utilities for the Google Cloud Platform
gpg	2.2.4-1ubuntu1.6	amd64	GNU Privacy Guard -- minimalist public key operations
gpg-agent	2.2.4-1ubuntu1.6	amd64	GNU privacy guard - cryptographic agent
gpgconf	2.2.4-1ubuntu1.6	amd64	GNU privacy guard - core configuration utilities
gpgv	2.2.4-1ubuntu1.6	amd64	GNU privacy guard - signature verification tool
grep	3.1-2build1	amd64	GNU grep, egrep and fgrep
gtk-update-icon-cache	3.22.30-1ubuntu4	amd64	icon theme caching utility
gzip	1.6-5ubuntu1.2	amd64	GNU compression utilities
hicolor-icon-theme	0.17-2	all	default fallback theme for FreeDesktop.org icon themes
hostname	3.20	amd64	utility to set/show the host name or domain name
humanity-icon-theme	0.6.15	all	Humanity Icon theme
init-system-helpers	1.51	all	helper tools for all init systems
iso-codes	3.79-1	all	ISO language, territory, currency, script codes and their translations
java-common	0.68ubuntu1~18.04.1	all	Base package for Java runtimes
less	487-0.1	amd64	pager program similar to more
libacl1:amd64	2.2.52-3build1	amd64	Access control list shared library
