Package	Version
assertthat	0.2.1
backports	1.1.10
bitops	1.0-7
brio	1.1.2
callr	3.7.0
caTools	1.18.2
cli	2.5.0
colorspace	2.0-1
crayon	1.4.1
data.table	1.12.8
desc	1.3.0
diffobj	0.3.4
digest	0.6.27
dplyr	0.8.5
ellipsis	0.3.2
evaluate	0.14
fansi	0.4.2
farver	2.1.0
gdata	2.18.0
getopt	1.20.3
ggplot2	3.3.0
glue	1.4.2
gplots	3.0.3
gsalib	2.1
gtable	0.3.0
gtools	3.8.2
isoband	0.2.4
jsonlite	1.7.2
labeling	0.4.2
lifecycle	1.0.0
magrittr	2.0.1
munsell	0.5.0
optparse	1.6.4
pillar	1.6.1
pkgconfig	2.0.3
pkgload	1.2.1
plogr	0.2.0
praise	1.0.0
processx	3.5.2
ps	1.6.0
purrr	0.3.4
R6	2.5.0
RColorBrewer	1.1-2
Rcpp	1.0.6
rematch2	2.1.2
rlang	0.4.11
rprojroot	2.0.2
rstudioapi	0.13
scales	1.1.1
testthat	3.0.2
tibble	3.1.2
tidyselect	1.1.1
utf8	1.2.1
vctrs	0.3.8
viridisLite	0.4.0
waldo	0.2.5
withr	2.4.2
